author,title,
Alan V. Oppenheim,Computer-Based Exercises for Signal Processing Using MATLAB Ver.5,
Alan V. Oppenheim,Adaptive Array Processing in Uncertain Inhomogeneous Media 1992-1993,
Ronald W. Schafer,Discrete-Time Signal Processing: International Edition,
Ronald W. Schafer,Discrete-Time Signal Processing (Prentice-hall Signal Processing Series),
Ronald W. Schafer,Digital Signal Processing,
Ronald W. Schafer,An Introduction to Digital Speech Processing (Foundations and Trends(r) in Signal Processing),
Ronald W. Schafer,"Mathematical Morphology and Its Applications to Image and Signal Processing (Computational Imaging and Vision, 5)",
Ronald W. Schafer,"Multidimensional Digital Signal Processing, Devices for Information Processing, and Electromagnetic Analysis and Measurement",
Ronald W. Schafer,Multidimensional Digital Signal Processing Optical Devices for Information Processing and Electromagnetic Analysis and Measurement,
Ronald W. Schafer,"Two-Dimensional Signal Processing, Optical Information Storage and Processing, and Electromagnetic Measurements",
Ronald W. Schafer,Speech Analysis (IEEE Press selected reprint series),
Ronald W. Schafer,ECHO REMOVAL BY DISCRETE GENERALIZED LINEAR FILTERING,
Ronald W. Schafer,Routledge Studies in US Foreign Policy (50 Book Series),
Ronald W. Schafer,DSP First,
Ronald W. Schafer,Discrete-Time Signal Processing (Prentice-Hall Signal Processing Series),
Ronald W. Schafer,Digital Voice Processing Theory and Applications (English),
Constantine A. Balani,Antenna Theory: Analysis and Design,
Constantine A. Balani,Advanced Engineering Electromagnetics,
Constantine A. Balani,Introduction to Smart Antennas (Synthesis Lectures on Antennas),
Constantine A. Balani,Reconfigurable Antennas (Synthesis Lectures on Antennas and Propagation),
Constantine A. Balani,Synthesis Series in Computational Electromagnetics Volume 1,
Constantine A. Balani,Support Vector Machines for Antenna Array Processing and Electromagnetics (Lectures on Computational Electromagnetics),
Constantine A. Balani,Higher-order FDTD Schemes for Waveguides and Antenna Structures (Synthesis Lectures on Computational Electromagnetics),
Constantine A. Balani,Tunable Materials with Applications in Antennas and Microwaves (Synthesis Lectures on Antennas),
Bibhutibhushan Bandopadhyay,Pather Panchali,
Bibhutibhushan Bandopadhyay,Aranyak,
Bibhutibhushan Bandopadhyay,Chander Pahar,
Bibhutibhushan Bandopadhyay,Aam Antir Bhenpu,
Bibhutibhushan Bandopadhyay,Taranath Tantrik,
Bibhutibhushan Bandopadhyay,Adarsha Hindu Hotel,
Bibhutibhushan Bandopadhyay,Debjan,
Bibhutibhushan Bandopadhyay,Mismider Kabach,
Bibhutibhushan Bandopadhyay,Aparajito,
Bibhutibhushan Bandopadhyay,Hire Manik Jale,
Bibhutibhushan Bandopadhyay,Malancha,
Bibhutibhushan Bandopadhyay,Padak,
Bibhutibhushan Bandopadhyay,Meghamala,
Bibhutibhushan Bandopadhyay,Marytirtha Hinglaj,
Bibhutibhushan Bandopadhyay,Ichamati,
Bibhutibhushan Bandopadhyay,Bipiner Sangsar,
Bibhutibhushan Bandopadhyay,Drishti Pradeep,
Bibhutibhushan Bandopadhyay,Anubartan,
Bibhutibhushan Bandopadhyay,Kedar Raja,
Bibhutibhushan Bandopadhyay,Nabagato,
Sharat Chandra Chattopadhyay,Aalo O Chhaya,
Sharat Chandra Chattopadhyay,Abhagir Swargo,
Sharat Chandra Chattopadhyay,Path Nirdesh,
Sharat Chandra Chattopadhyay,Anupamar Prem,
Sharat Chandra Chattopadhyay,Anuradha,
Sharat Chandra Chattopadhyay,Swami,
Sharat Chandra Chattopadhyay,Andhare Aalo,
Sharat Chandra Chattopadhyay,Balya Smriti,
Sharat Chandra Chattopadhyay,Mahesh,
Sharat Chandra Chattopadhyay,Lalu,
Sharat Chandra Chattopadhyay,Darpochurna,
Sharat Chandra Chattopadhyay,Paresh,
Sharat Chandra Chattopadhyay,Ramer Shumoti,
Sharat Chandra Chattopadhyay,Chobi,
Sharat Chandra Chattopadhyay,Mejdidi,
Sharat Chandra Chattopadhyay,Kashinath,
Sharat Chandra Chattopadhyay,Mamlar Fol,
Sharat Chandra Chattopadhyay,Mandir,
Sharat Chandra Chattopadhyay,Rama,
Sharat Chandra Chattopadhyay,Bijoya,
Shirshendu Mukhopadhyay,Ghunpoka,
Shirshendu Mukhopadhyay,Parthibo,
Shirshendu Mukhopadhyay,Maanabjamin,
Shirshendu Mukhopadhyay,Parapar,
Shirshendu Mukhopadhyay,Nayan Shyama,
Shirshendu Mukhopadhyay,Bangaler America Darshan,
Shirshendu Mukhopadhyay,Ekadashi O Bhut,
Shirshendu Mukhopadhyay,Charadik,
Shirshendu Mukhopadhyay,Akranta,
Shirshendu Mukhopadhyay,Pherighaat,
Shirshendu Mukhopadhyay,Madhur Janya,
Shirshendu Mukhopadhyay,Ashukher Pare,
Shirshendu Mukhopadhyay,Aadam Eve O Andhakar,
Shirshendu Mukhopadhyay,Ujan,
Shirshendu Mukhopadhyay,Kagajer Bou,
Shirshendu Mukhopadhyay,Kapurushh,
Shirshendu Mukhopadhyay,Gaynar Bakso,
Shirshendu Mukhopadhyay,Gati,
Shirshendu Mukhopadhyay,Churi,
Shirshendu Mukhopadhyay,Chokh,
Tarashankar Bandopadhyay,Chaitali Ghurni,
Tarashankar Bandopadhyay,Pashanpuri,
Tarashankar Bandopadhyay,Nilkantha,
Tarashankar Bandopadhyay,Raikamal,
Tarashankar Bandopadhyay,Prem O Prayojon,
Tarashankar Bandopadhyay,Aagun,
Tarashankar Bandopadhyay,Dhatridebata,
Constantine A. Balani,"Frequency and Transient Characteristics of MMIC Transmission Lines, Circuits and Antennas",
Constantine A. Balani,Modern Antenna Handbook,
Constantine A. Balani,Aircraft antenna analysis and microwave landing system (MLS) applications,
Robert. C. Martin,Clean Architecture: A Craftsman's Guide to Software Structure and Design,
Robert. C. Martin,The Clean Coder,
Robert. C. Martin,Clean Code,
Robert. C. Martin,Clean Agile: Back to Basics (Robert C. Martin Series),
Robert. C. Martin,"The Software Craftsman: Professionalism, Pragmatism, Pride",
Robert. C. Martin,"More C++ Gems: 17 (SIGS Reference Library, Series Number 17)",
Robert. C. Martin,Designing Object Oriented C++ Applications Using The Booch Method,
Robert. C. Martin,"Value Pack: Software Engineering with Agile Software Development, Principles, Patterns and Practices",
Robert. C. Martin,The Perfect Host,
Robert. C. Martin,Coincidence,
Robert. C. Martin,"Agile Principles, Patterns, and Practices in C#",
Robert. C. Martin,Reminiscing!,
Gregor Hohpe,The Software Architect Elevator: Redefining the Architect's Role in the Digital Enterprise (Greyscale Indian Edition),
Gregor Hohpe,"Enterprise Integration Patterns: Designing, Building and Deploying Messaging Solutions (Addison Wesley Signature Series) (Addison Wesley Signature Series (Old Edition))",
Gregor Hohpe,37 Things One Architect Knows About IT Transformation: A Chief Architect's Journey,
Gregor Hohpe,Cloud Strategy: A Decision-Based Approach to Successful Cloud Migration,
Gregor Hohpe,"Enterprise Integration Patterns, Vol 2: Conversation Patterns",
Tarashankar Bandopadhyay,Dhatridebata,
Tarashankar Bandopadhyay,Kalindi,
Tarashankar Bandopadhyay,Ganadebata,
Tarashankar Bandopadhyay,Panchagram,
Tarashankar Bandopadhyay,Manvantar,
Tarashankar Bandopadhyay,Kavi,
Tarashankar Bandopadhyay,Bingsho Shatabdi,
Tarashankar Bandopadhyay,Sandipan Pathshala,
Tarashankar Bandopadhyay,Jhar O Jharapata,
Tarashankar Bandopadhyay,Abhijan,
Tarashankar Bandopadhyay,Chhotoder Sandipan Pathshala,
Tarashankar Bandopadhyay,Padachihna,
Tarashankar Bandopadhyay,Uttarayan,
Tarashankar Bandopadhyay,Hansuli Banker Upakatha,
Michel Madhusudan Dutta,Meghnad Badh Kavya,
Michel Madhusudan Dutta,King Porus,King Porus
Michel Madhusudan Dutta,The Captive Ladie,
Michel Madhusudan Dutta,Ratul Potra,
Michel Madhusudan Dutta,Sharmista,
Michel Madhusudan Dutta,Padmavati,
Michel Madhusudan Dutta,Ekei Ki Boley Sabyota,
Michel Madhusudan Dutta,Krishna Kumari,
Michel Madhusudan Dutta,Buro Shaliker Ghare Ron,
Michel Madhusudan Dutta,Tilottama Sambhava Kavya,
Michel Madhusudan Dutta,Brajagana Kavya,
Michel Madhusudan Dutta,Veerangana Kavya,
Michel Madhusudan Dutta,Ratnavali,
Michel Madhusudan Dutta,Nil Darpan,
Michel Madhusudan Dutta,Choturdoshpodi Kobitaboli,
Michel Madhusudan Dutta,"Rizia, the Sultana",
Michel Madhusudan Dutta,Rosalo Sornolatika,
Michel Madhusudan Dutta,Bongobani,
Michel Madhusudan Dutta,Bongo bhumir prati,
Ishwar Chandra Bandopadhyay,Barnaparichay,
Ishwar Chandra Bandopadhyay,Kathamala,
Ishwar Chandra Bandopadhyay,Charitabali,
Ishwar Chandra Bandopadhyay,Shakuntala,
Ishwar Chandra Bandopadhyay,Bhrantibilas,
Ishwar Chandra Bandopadhyay,Betal Panchabingshati,
Ishwar Chandra Bandopadhyay,Akshyanmanjari,
Ishwar Chandra Bandopadhyay,Jibancharit,
Ishwar Chandra Bandopadhyay,Nitibodh,
Ishwar Chandra Bandopadhyay,Bodhodoy,
William Shakespeare,Macbeth,
William Shakespeare,Othello,
William Shakespeare,Romeo Juliet,
William Shakespeare,Julius Caeser,
William Shakespeare,Hamlet,
William Shakespeare,King Lear,
William Shakespeare,The Merchant of Venice,
William Shakespeare,The Taming of the Shrew,
William Shakespeare,Twelfth Night,
William Shakespeare,As you Like It,
William Shakespeare,A Midsummer Night's Dream,
William Shakespeare,The Tempest,
William Shakespeare,The Winter's Tale,
William Shakespeare,Much Ado About Nothing,
William Shakespeare,Pericles,
William Shakespeare,The Comedy of Errors,
William Shakespeare,Measure for Measure,
William Shakespeare,Two Gentleman of Verona,
William Shakespeare,All's Well That Ends Well,
William Shakespeare,Timon of Athens,
Arthur Conan Doyle,A Scandal in Bohemia,
Arthur Conan Doyle,The Red-Headed League,
Arthur Conan Doyle,A Case of Identity,
Arthur Conan Doyle,The Boscombe Valley Mystery,
Arthur Conan Doyle,The Five Orange Pips,
Arthur Conan Doyle,The Man with the Twisted Lip,
Arthur Conan Doyle,The Adventure of the Blue Carbuncle,
Arthur Conan Doyle,The Adventure of the Speckled Band,
Arthur Conan Doyle,The Adventure of the Engineer's Thumb,
Arthur Conan Doyle,The Adventure of the Noble Bachelor,
Arthur Conan Doyle,The Adventure of the Beryl Coronet,
Arthur Conan Doyle,The Adventure of the Copper Beeches,
Arthur Conan Doyle,The Adventure of Silver Blaze,
Arthur Conan Doyle,The Adventure of the Cardboard Box,
Arthur Conan Doyle,The Adventure of the Yellow Face,
Arthur Conan Doyle,The Adventure of the Stockbroker's Clerk,
Arthur Conan Doyle,The Adventure of the Gloria Scott,
Arthur Conan Doyle,The Adventure of the Musgrave Ritual,
Arthur Conan Doyle,The Adventure of the Reigate Squire,
Arthur Conan Doyle,The Adventure of the Crooked Man,
Henry Petroski,The Evolution of Useful Things,
Henry Petroski,To Engineer Is Human: The Role of Failure in Successful Design,
Henry Petroski,Beyond Engineering: Essays and Other Attempts to Figure without Equations,
Henry Petroski,The Pencil: A History of Design and Circumstance,
Henry Petroski,Design Paradigms: Case Histories of Error and Judgment in Engineering,
Henry Petroski,Engineers of Dreams: Great Bridge Builders and The Spanning of America,
Henry Petroski,Invention by Design: How Engineers Get from Thought to Thing,
Henry Petroski,Remaking the World: Adventures in Engineering,
Henry Petroski,The Book on the Bookshelf,
Henry Petroski,Paperboy: Confessions of a Future engineer,
Henry Petroski,Small Things Considered: Why There Is No Perfect Design,
Henry Petroski,Pushing the Limits: New Adventures in Engineering,
Henry Petroski,Success Through Failure: The Paradox of Design.,
Henry Petroski,The Toothpick: Technology and Culture.,
Henry Petroski,The Essential Engineer: Why Science Alone Will Not Solve Our Global Problems.,
Henry Petroski,The Engineer's Alphabet: Gleanings from the Softer Side of a Profession.,
Henry Petroski,To Forgive Design: Understanding Failure,
Henry Petroski,The House with Sixteen Handmade Doors: A Tale of Architectural Choice and Craftsmanship,
Henry Petroski,The Road Taken: The History and Future of America's Infrastructure,
Donald Arthur Norman,The Design of Everyday Things. Revised and expanded.,
Donald Arthur Norman,Living with Complexity,
Donald Arthur Norman,The Design of Future Things,
Donald Arthur Norman,Emotional Design: Why We Love (or Hate) Everyday Things,
Donald Arthur Norman,"The Invisible Computer: Why Good Products Can Fail, the Personal Computer Is So Complex, and Information Appliances Are the Solution",
Donald Arthur Norman,"The Invisible Computer: Why Good Products Can Fail, the Personal Computer Is So Complex, and Information Appliances Are the Solution",
Donald Arthur Norman,Things That Make Us Smart: Defending Human Attributes In The Age Of The Machine,
Donald Arthur Norman,Things That Make Us Smart: Defending Human Attributes In The Age Of The Machine,
Donald Arthur Norman,The Psychology of Everyday Things,
Saeed Moaveni,Engineering Fundamentals: An Introduction to Engineering,
Saeed Moaveni,Finite Element Analysis: Theory and Application with ANSYS,
Saeed Moaveni,"Energy, Environment, and Sustainability",
David Blockley,Bridges : The Science and Art of the World's Most Inspiring Structures,
David Blockley,Engineering: A Very Short Introduction,
David Blockley,Structural Engineering: A Very Short Introduction,
David Blockley,Building Bridges: Between Theory and Practice,
David Blockley,Doing It Differently : Systems for Rethinking Construction,
David Blockley,Penguin Dictionary Of Civil Engineering,
David Blockley,"Creativity, Problem Solving, and Aesthetics in Engineering: Today's Engineers Turning Dreams Into Reality",
Eugene S. Ferguson,Engineering and the Mind's Eye,
Eugene S. Ferguson,Kinematics of mechanisms from the time of Watt,
Eugene S. Ferguson,Bibliography of the history of technology,
Eugene S. Ferguson,Truxtun of the Constellation,
Eugene S. Ferguson,John Ericsson and the age of caloric,
Eugene S. Ferguson,"Oliver Evans, Inventive Genius of the American Industrial Revolution",
Eugene S. Ferguson,"Commodore Thomas Truxtun, 1755-1822",
Patty O'Brien Novak,Engineering the ABCs,
David McCullough,1776 America and Britain at war,
David McCullough,"The Path Between the Seas: The Creation of the Panama Canal, 1870–1914",
David McCullough,Mornings on Horseback,
David McCullough,Brave Companions: Portraits in History,
David McCullough,Truman,
David McCullough,John Adams.,
David McCullough,The Greater Journey: Americans in Paris,
David McCullough,The American Spirit: Who We Are and What We Stand For,
Richard Weingardt,Engineering Legends : Great American Civil Engineers: (32 Profiles of Inspiration and Achievement),
Richard Weingardt,Circles in the Sky : The Lifeand Times of George Ferris,
Richard Weingardt,Engineering Colorado : History of Consulting Engineers Council of Colorado,
Richard Weingardt,"Raut: Teacher, leader, engineer : remembering Roland Rautenstraus, P.E., the twelfth president of the University of Colorado",
Richard Weingardt,Forks in the Road : Impacting the World Around Us,
Richard Weingardt,Sound the Charge,
Louis L. Bucciarelli,Engineering Mechanics for Structures (Dover Civil and Mechanical Engineering),
Louis L. Bucciarelli,Designing Engineers (Inside Technology),
Eliyahu Goldratt,The Goal: A Process of Ongoing Improvement.,
Eliyahu Goldratt,It's Not Luck.,
Eliyahu Goldratt,Critical Chain,
Eliyahu Goldratt,Necessary But Not Sufficient.,
Eliyahu Goldratt,Late Night Discussions on the Theory of Constraints,
Eliyahu Goldratt,The Race,
Eliyahu Goldratt,Essays on the Theory of Constraints,
Eliyahu Goldratt,What is this Thing Called Theory of Constraints.,
Eliyahu Goldratt,The Haystack Syndrome: Sifting Information Out of the Data Ocean.,
Eliyahu Goldratt,Production the TOC Way,
Stephanie Slocum,"She Engineers: Outsmart Bias, Unlock your Potential, and Create the Engineering Career of your Dreams",
Brian Bunnell,Mechanical Engineering for Makers: A Hands-on Guide to Designing and Making Physical Things ,
Brian Bunnell,Basic Machines and How They Work,
Jonathan Wickert,An Introduction to Mechanical Engineering,
Jonathan Wickert,An Introduction to Mechanical Engineering,
Jonathan Wickert,"An Introduction to Mechanical Engineering + Lms Integrated for Mindtap Engineering, 1 Term 6 Months Access Card, Si Edition",
Jonathan Wickert,"MindTap Engineering, 2 terms (12 months) Printed Access Card for Wickert/Lewis' An Introduction to Mechanical Engineering, SI Edition, 4th (MindTap Course List) Digital – 9 May 2016",
Frederick P. Brooks Junior,The Design of Design,
Frederick P. Brooks Junior,The Mythical Man-Month,
Frederick P. Brooks Junior,Automatic Data Processing,
Frederick P. Brooks Junior,Computer Architecture: Concepts and Evolution,
Frederick P. Brooks Junior,No Silver Bullet – Essence and Accident in Software Engineering,
Victor Papanek,Design for Human Scale,
Victor Papanek,Design for the Real World,
Victor Papanek,The Green Imperative,
Victor Papanek,How Things Don't Work,
Victor Papanek,Nomadic Furniture,
Victor Papanek,Nomadic Furniture 2,
Tracy Kidder,Mountains Beyond Mountains,
Tracy Kidder,The Soul of a New Machine,
Tracy Kidder,Among Schoolchildren,
Tracy Kidder,Strength in What Remains,
Tracy Kidder,Home town,
Tracy Kidder,My Detachment,
Tracy Kidder,A Truck Full of Money,
Tracy Kidder,Old Friends,
Tracy Kidder,House ,
Tracy Kidder,Eagle,
Tracy Kidder,Good Prose: The Art of Nonfiction,
Tracy Kidder,The Best American Essays,
Tracy Kidder,Montanas,
Mario Salvadori,Why Buildings Stand Up,
Mario Salvadori,Structure in Architecture: The Build of Buildings,
Mario Salvadori,The Art of Contruction: Projects and Principles for Beginning Engineers and Architects,
Mario Salvadori,Why Buildings Fall Down: How Structures Fail,
Mario Salvadori,Structural Design in Architecture,
Mario Salvadori,Math Games for Middle School: Challenges and Skill-builders for Students of Every Level,
Mario Salvadori,Why the Earth Quakes,
Mario Salvadori,Building: The Fight Against Gravity,
Mario Salvadori,"Earthquakes, Volcanoes, and Tsunamis: Projects and Principles for Beginning Geologists",
Mario Salvadori,Numerical Methods in Engineering,
Mario Salvadori,Architecture and Engineering,
Mario Salvadori,Numerical Methods in FORTRAN,
Mario Salvadori,The Mathematical Solution of Engineering Problems,
Mario Salvadori,Mathematics in Architecture,
Mario Salvadori,Statics and Strength of Structures,
Mario Salvadori,Differential Equations in Engineering Problems,
Claus Borgnakke,Fundamentals of Thermodynamics,
Claus Borgnakke,Thermodynamic and Transport Properties,
Claus Borgnakke,Borgnakke's Fundamentals of Thermodynamics,
Claus Borgnakke,Fundamentals of Classical Thermodynamics,
Claus Borgnakke,Introduction to Engineering Thermodynamics,
Claus Borgnakke,Thermodynamics Databook,
Claus Borgnakke,Fundamentals of Thermodynamics: Work Example Supplement,
Claus Borgnakke,Fundamentals of Thermodynamics: 6th Edition with CD,
Claus Borgnakke,Fundamentals of Engineering Thermodynamics,
Claus Borgnakke,Tables of Thermodynamics and Transport Properties,
Claus Borgnakke,Solutions Manual to Accompany Fundamentals of Thermodynamics: Chapters 2-9,
Claus Borgnakke,Thermodynamics 7E for Kettering University,
Claus Borgnakke,Thermodynamics 8E with Fundamentals,